componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,305,60,395,BRC0229T,Nome não encontrado
Energia,kcal,73,14,94,BRC0229T,Nome não encontrado
Umidade,g,"81,9","16,4",106,BRC0229T,Nome não encontrado
Carboidrato total,g,"10,3","2,05","13,3",BRC0229T,Nome não encontrado
Carboidrato disponível,g,"7,00","1,40","9,10",BRC0229T,Nome não encontrado
Proteína,g,"5,54","1,11","7,21",BRC0229T,Nome não encontrado
Lipídios,g,"1,76","0,35","2,29",BRC0229T,Nome não encontrado
Fibra alimentar,g,"3,26","0,65","4,24",BRC0229T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0229T,Nome não encontrado
Cinzas,g,"0,52","0,10","0,68",BRC0229T,Nome não encontrado
Colesterol,mg,"6,30","1,26","8,20",BRC0229T,Nome não encontrado
Ácidos graxos saturados,g,"0,48","0,10","0,62",BRC0229T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,54","0,11","0,70",BRC0229T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,59","0,12","0,77",BRC0229T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,03",BRC0229T,Nome não encontrado
Cálcio,mg,"16,1","3,22","20,9",BRC0229T,Nome não encontrado
Ferro,mg,"0,81","0,16","1,05",BRC0229T,Nome não encontrado
Sódio,mg,"8,20","1,64","10,7",BRC0229T,Nome não encontrado
Magnésio,mg,"16,5","3,29","21,4",BRC0229T,Nome não encontrado
Fósforo,mg,"59,2","11,8","76,9",BRC0229T,Nome não encontrado
Potássio,mg,174,"35,0",227,BRC0229T,Nome não encontrado
Manganês,mg,"0,18","0,04","0,24",BRC0229T,Nome não encontrado
Zinco,mg,"1,35","0,27","1,76",BRC0229T,Nome não encontrado
Cobre,mg,"0,21","0,04","0,27",BRC0229T,Nome não encontrado
Selênio,mcg,"1,16","0,23","1,51",BRC0229T,Nome não encontrado
Vitamina A (RE),mcg,"86,4","17,3",112,BRC0229T,Nome não encontrado
Vitamina A (RAE),mcg,"43,5","8,70","56,5",BRC0229T,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,04",BRC0229T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,14","0,23","1,48",BRC0229T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0229T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0229T,Nome não encontrado
Niacina,mg,"0,35","0,07","0,46",BRC0229T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0229T,Nome não encontrado
Vitamina B12,mcg,"0,15","0,03","0,19",BRC0229T,Nome não encontrado
Vitamina C,mg,"2,37","0,47","3,08",BRC0229T,Nome não encontrado
Equivalente de folato,mcg,"37,3","7,46","48,5",BRC0229T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0229T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0229T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0229T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0229T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0229T,Nome não encontrado
