componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,1070,214,1391,BRC0962F,Nome não encontrado
Energia,kcal,258,51,335,BRC0962F,Nome não encontrado
Umidade,g,"59,2","11,8","76,9",BRC0962F,Nome não encontrado
Carboidrato total,g,"5,46","1,09","7,09",BRC0962F,Nome não encontrado
Carboidrato disponível,g,"4,12","0,82","5,36",BRC0962F,Nome não encontrado
Proteína,g,"13,6","2,72","17,7",BRC0962F,Nome não encontrado
Lipídios,g,"20,5","4,10","26,6",BRC0962F,Nome não encontrado
Fibra alimentar,g,"1,33","0,27","1,73",BRC0962F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0962F,Nome não encontrado
Cinzas,g,"1,32","0,26","1,71",BRC0962F,Nome não encontrado
Colesterol,mg,"45,3","9,07","58,9",BRC0962F,Nome não encontrado
Ácidos graxos saturados,g,"6,32","1,26","8,21",BRC0962F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,96","1,59","10,3",BRC0962F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,84","0,77","4,99",BRC0962F,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,02","0,15",BRC0962F,Nome não encontrado
Cálcio,mg,"26,1","5,21","33,9",BRC0962F,Nome não encontrado
Ferro,mg,"0,95","0,19","1,24",BRC0962F,Nome não encontrado
Sódio,mg,333,"66,7",433,BRC0962F,Nome não encontrado
Magnésio,mg,"16,0","3,21","20,8",BRC0962F,Nome não encontrado
Fósforo,mg,102,"20,5",133,BRC0962F,Nome não encontrado
Potássio,mg,250,"50,0",325,BRC0962F,Nome não encontrado
Manganês,mg,"0,09","0,02","0,12",BRC0962F,Nome não encontrado
Zinco,mg,"1,27","0,25","1,65",BRC0962F,Nome não encontrado
Cobre,mg,"0,14","0,03","0,18",BRC0962F,Nome não encontrado
Selênio,mcg,"5,33","1,07","6,93",BRC0962F,Nome não encontrado
Vitamina A (RE),mcg,"54,4","10,9","70,8",BRC0962F,Nome não encontrado
Vitamina A (RAE),mcg,"28,4","5,67","36,9",BRC0962F,Nome não encontrado
Vitamina D,mcg,"0,10","0,02","0,13",BRC0962F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,76","0,15","0,99",BRC0962F,Nome não encontrado
Tiamina,mg,"0,24","0,05","0,32",BRC0962F,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,05",BRC0962F,Nome não encontrado
Niacina,mg,"3,35","0,67","4,36",BRC0962F,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0962F,Nome não encontrado
Vitamina B12,mcg,"0,54","0,11","0,70",BRC0962F,Nome não encontrado
Vitamina C,mg,"9,38","1,88","12,2",BRC0962F,Nome não encontrado
Equivalente de folato,mcg,"12,3","2,46","16,0",BRC0962F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0962F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0962F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0962F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0962F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0962F,Nome não encontrado
