componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,0,BRC0170H,Nome não encontrado
Energia,kcal,0,BRC0170H,Nome não encontrado
Umidade,g,"100,0",BRC0170H,Nome não encontrado
Carboidrato total,g,"0,00",BRC0170H,Nome não encontrado
Carboidrato disponível,g,"0,00",BRC0170H,Nome não encontrado
Proteína,g,"0,00",BRC0170H,Nome não encontrado
Lipídios,g,"0,00",BRC0170H,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0170H,Nome não encontrado
Álcool,g,"0,00",BRC0170H,Nome não encontrado
Cinzas,g,"0,00",BRC0170H,Nome não encontrado
Colesterol,mg,"0,00",BRC0170H,Nome não encontrado
Ácidos graxos saturados,g,"0,00",BRC0170H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00",BRC0170H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00",BRC0170H,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0170H,Nome não encontrado
Cálcio,mg,"0,00",BRC0170H,Nome não encontrado
Ferro,mg,"0,00",BRC0170H,Nome não encontrado
Sódio,mg,"0,00",BRC0170H,Nome não encontrado
Magnésio,mg,"0,00",BRC0170H,Nome não encontrado
Fósforo,mg,"0,00",BRC0170H,Nome não encontrado
Potássio,mg,"0,00",BRC0170H,Nome não encontrado
Manganês,mg,"0,00",BRC0170H,Nome não encontrado
Zinco,mg,"0,00",BRC0170H,Nome não encontrado
Cobre,mg,"0,00",BRC0170H,Nome não encontrado
Selênio,mcg,"0,00",BRC0170H,Nome não encontrado
Vitamina A (RE),mcg,"0,00",BRC0170H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00",BRC0170H,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0170H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00",BRC0170H,Nome não encontrado
Tiamina,mg,"0,00",BRC0170H,Nome não encontrado
Riboflavina,mg,"0,00",BRC0170H,Nome não encontrado
Niacina,mg,"0,00",BRC0170H,Nome não encontrado
Vitamina B6,mg,"0,00",BRC0170H,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0170H,Nome não encontrado
Vitamina C,mg,"0,00",BRC0170H,Nome não encontrado
Equivalente de folato,mcg,"0,00",BRC0170H,Nome não encontrado
Sal de adição,g,"0,00",BRC0170H,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0170H,Nome não encontrado
Gordura de adição,g,"0,00",BRC0170H,Nome não encontrado
Proteína vegetal,g,"0,00",BRC0170H,Nome não encontrado
Proteína animal,g,"0,00",BRC0170H,Nome não encontrado
