componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,257,115,89,51,30,BRC1013B,Nome não encontrado
Energia,kcal,62,27,21,12,7,BRC1013B,Nome não encontrado
Umidade,g,"86,6","39,0","30,3","17,3","10,4",BRC1013B,Nome não encontrado
Carboidrato total,g,"7,94","3,57","2,78","1,59","0,95",BRC1013B,Nome não encontrado
Carboidrato disponível,g,"6,06","2,73","2,12","1,21","0,73",BRC1013B,Nome não encontrado
Proteína,g,"1,16","0,52","0,41","0,23","0,14",BRC1013B,Nome não encontrado
Lipídios,g,"3,22","1,45","1,13","0,64","0,39",BRC1013B,Nome não encontrado
Fibra alimentar,g,"1,88","0,85","0,66","0,38","0,23",BRC1013B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1013B,Nome não encontrado
Cinzas,g,"1,09","0,49","0,38","0,22","0,13",BRC1013B,Nome não encontrado
Colesterol,mg,"4,25","1,91","1,49","0,85","0,51",BRC1013B,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,21","0,16","0,09","0,06",BRC1013B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","0,30","0,23","0,13","0,08",BRC1013B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,58","0,71","0,55","0,32","0,19",BRC1013B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,00","0,00",BRC1013B,Nome não encontrado
Cálcio,mg,"35,7","16,1","12,5","7,15","4,29",BRC1013B,Nome não encontrado
Ferro,mg,"0,18","0,08","0,06","0,04","0,02",BRC1013B,Nome não encontrado
Sódio,mg,211,"95,1","74,0","42,3","25,4",BRC1013B,Nome não encontrado
Magnésio,mg,"11,2","5,04","3,92","2,24","1,35",BRC1013B,Nome não encontrado
Fósforo,mg,"21,7","9,76","7,59","4,34","2,60",BRC1013B,Nome não encontrado
Potássio,mg,216,"97,4","75,8","43,3","26,0",BRC1013B,Nome não encontrado
Manganês,mg,"0,16","0,07","0,06","0,03","0,02",BRC1013B,Nome não encontrado
Zinco,mg,"0,17","0,07","0,06","0,03","0,02",BRC1013B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,02","0,01","0,01",BRC1013B,Nome não encontrado
Selênio,mcg,"0,26","0,12","0,09","0,05","0,03",BRC1013B,Nome não encontrado
Vitamina A (RE),mcg,"87,5","39,4","30,6","17,5","10,5",BRC1013B,Nome não encontrado
Vitamina A (RAE),mcg,"44,2","19,9","15,5","8,83","5,30",BRC1013B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1013B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,17","0,13","0,07","0,04",BRC1013B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC1013B,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01","0,01","0,00",BRC1013B,Nome não encontrado
Niacina,mg,"0,03","0,02","0,01","0,01","0,00",BRC1013B,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,02","0,01","0,01",BRC1013B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00","0,00","0,00",BRC1013B,Nome não encontrado
Vitamina C,mg,"19,1","8,58","6,68","3,82","2,29",BRC1013B,Nome não encontrado
Equivalente de folato,mcg,"29,7","13,4","10,4","5,94","3,56",BRC1013B,Nome não encontrado
Sal de adição,g,,,,,,BRC1013B,Nome não encontrado
Açúcar de adição,g,,,,,,BRC1013B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1013B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1013B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1013B,Nome não encontrado
