componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1622,227,BRC0034R,Nome não encontrado
Energia,kcal,382,53,BRC0034R,Nome não encontrado
Umidade,g,"3,29","0,46",BRC0034R,Nome não encontrado
Carboidrato total,g,"70,5","9,86",BRC0034R,Nome não encontrado
Carboidrato disponível,g,"69,8","9,77",BRC0034R,Nome não encontrado
Proteína,g,"25,3","3,54",BRC0034R,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0034R,Nome não encontrado
Fibra alimentar,g,"0,64","0,09",BRC0034R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0034R,Nome não encontrado
Cinzas,g,"0,95","0,13",BRC0034R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0034R,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0034R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0034R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0034R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0034R,Nome não encontrado
Cálcio,mg,"23,7","3,32",BRC0034R,Nome não encontrado
Ferro,mg,"0,58","0,08",BRC0034R,Nome não encontrado
Sódio,mg,"17,4","2,44",BRC0034R,Nome não encontrado
Magnésio,mg,"7,31","1,02",BRC0034R,Nome não encontrado
Fósforo,mg,"6,61","0,93",BRC0034R,Nome não encontrado
Potássio,mg,"43,9","6,14",BRC0034R,Nome não encontrado
Manganês,mg,"0,10","0,01",BRC0034R,Nome não encontrado
Zinco,mg,"0,12","0,02",BRC0034R,Nome não encontrado
Cobre,mg,"0,03","0,00",BRC0034R,Nome não encontrado
Selênio,mcg,,,BRC0034R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0034R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0034R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0034R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,01",BRC0034R,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0034R,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0034R,Nome não encontrado
Niacina,mg,traços,traços,BRC0034R,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0034R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0034R,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0034R,Nome não encontrado
Equivalente de folato,mcg,"2,01","0,28",BRC0034R,Nome não encontrado
Sal de adição,g,,,BRC0034R,Nome não encontrado
Açúcar de adição,g,,,BRC0034R,Nome não encontrado
Gordura de adição,g,,,BRC0034R,Nome não encontrado
Proteína vegetal,g,,,BRC0034R,Nome não encontrado
Proteína animal,g,,,BRC0034R,Nome não encontrado
