componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1675,234,BRC0021R,Nome não encontrado
Energia,kcal,394,55,BRC0021R,Nome não encontrado
Umidade,g,"1,30","0,18",BRC0021R,Nome não encontrado
Carboidrato total,g,"90,5","12,7",BRC0021R,Nome não encontrado
Carboidrato disponível,g,"90,5","12,7",BRC0021R,Nome não encontrado
Proteína,g,"7,80","1,09",BRC0021R,Nome não encontrado
Lipídios,g,"0,10","0,01",BRC0021R,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0021R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0021R,Nome não encontrado
Cinzas,g,"0,30","0,04",BRC0021R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0021R,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0021R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0021R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0021R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0021R,Nome não encontrado
Cálcio,mg,"26,8","3,75",BRC0021R,Nome não encontrado
Ferro,mg,"0,33","0,05",BRC0021R,Nome não encontrado
Sódio,mg,234,"32,8",BRC0021R,Nome não encontrado
Magnésio,mg,"2,30","0,32",BRC0021R,Nome não encontrado
Fósforo,mg,"1,98","0,28",BRC0021R,Nome não encontrado
Potássio,mg,"7,23","1,01",BRC0021R,Nome não encontrado
Manganês,mg,"0,03","0,00",BRC0021R,Nome não encontrado
Zinco,mg,traços,traços,BRC0021R,Nome não encontrado
Cobre,mg,traços,traços,BRC0021R,Nome não encontrado
Selênio,mcg,,,BRC0021R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0021R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0021R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0021R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0021R,Nome não encontrado
Tiamina,mg,traços,traços,BRC0021R,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0021R,Nome não encontrado
Niacina,mg,traços,traços,BRC0021R,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0021R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0021R,Nome não encontrado
Vitamina C,mg,"39,9","5,58",BRC0021R,Nome não encontrado
Equivalente de folato,mcg,"2,99","0,42",BRC0021R,Nome não encontrado
Sal de adição,g,,,BRC0021R,Nome não encontrado
Açúcar de adição,g,,,BRC0021R,Nome não encontrado
Gordura de adição,g,,,BRC0021R,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0021R,Nome não encontrado
Proteína animal,g,"7,80","1,09",BRC0021R,Nome não encontrado
