componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,140,BRC1138B,Nome não encontrado
Energia,kcal,34,BRC1138B,Nome não encontrado
Umidade,g,"89,4",BRC1138B,Nome não encontrado
Carboidrato total,g,"6,78",BRC1138B,Nome não encontrado
Carboidrato disponível,g,"3,12",BRC1138B,Nome não encontrado
Proteína,g,"2,47",BRC1138B,Nome não encontrado
Lipídios,g,"0,43",BRC1138B,Nome não encontrado
Fibra alimentar,g,"3,66",BRC1138B,Nome não encontrado
Álcool,g,"0,00",BRC1138B,Nome não encontrado
Cinzas,g,"0,88",BRC1138B,Nome não encontrado
Colesterol,mg,"0,00",BRC1138B,Nome não encontrado
Ácidos graxos saturados,g,"0,02",BRC1138B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00",BRC1138B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08",BRC1138B,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC1138B,Nome não encontrado
Cálcio,mg,"1,11",BRC1138B,Nome não encontrado
Ferro,mg,"0,73",BRC1138B,Nome não encontrado
Sódio,mg,"1,02",BRC1138B,Nome não encontrado
Magnésio,mg,"11,6",BRC1138B,Nome não encontrado
Fósforo,mg,108,BRC1138B,Nome não encontrado
Potássio,mg,311,BRC1138B,Nome não encontrado
Manganês,mg,"0,12",BRC1138B,Nome não encontrado
Zinco,mg,"0,78",BRC1138B,Nome não encontrado
Cobre,mg,"0,10",BRC1138B,Nome não encontrado
Selênio,mcg,"5,74",BRC1138B,Nome não encontrado
Vitamina A (RE),mcg,"0,00",BRC1138B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00",BRC1138B,Nome não encontrado
Vitamina D,mcg,"0,20",BRC1138B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00",BRC1138B,Nome não encontrado
Tiamina,mg,"0,53",BRC1138B,Nome não encontrado
Riboflavina,mg,"0,61",BRC1138B,Nome não encontrado
Niacina,mg,"26,8",BRC1138B,Nome não encontrado
Vitamina B6,mg,"0,19",BRC1138B,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC1138B,Nome não encontrado
Vitamina C,mg,"0,76",BRC1138B,Nome não encontrado
Equivalente de folato,mcg,"11,3",BRC1138B,Nome não encontrado
Sal de adição,g,"0,00",BRC1138B,Nome não encontrado
Açúcar de adição,g,"0,00",BRC1138B,Nome não encontrado
Gordura de adição,g,"0,00",BRC1138B,Nome não encontrado
Proteína vegetal,g,"2,47",BRC1138B,Nome não encontrado
Proteína animal,g,"0,00",BRC1138B,Nome não encontrado
