componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,863,517,BRC0699A,Nome não encontrado
Energia,kcal,206,123,BRC0699A,Nome não encontrado
Umidade,g,"54,8","32,9",BRC0699A,Nome não encontrado
Carboidrato total,g,"31,0","18,6",BRC0699A,Nome não encontrado
Carboidrato disponível,g,"27,4","16,5",BRC0699A,Nome não encontrado
Proteína,g,"5,46","3,27",BRC0699A,Nome não encontrado
Lipídios,g,"7,44","4,46",BRC0699A,Nome não encontrado
Fibra alimentar,g,"3,58","2,15",BRC0699A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0699A,Nome não encontrado
Cinzas,g,"1,26","0,76",BRC0699A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0699A,Nome não encontrado
Ácidos graxos saturados,g,"0,86","0,52",BRC0699A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,27","2,56",BRC0699A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,91","1,74",BRC0699A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0699A,Nome não encontrado
Cálcio,mg,"46,1","27,7",BRC0699A,Nome não encontrado
Ferro,mg,"1,03","0,62",BRC0699A,Nome não encontrado
Sódio,mg,167,100,BRC0699A,Nome não encontrado
Magnésio,mg,"37,6","22,5",BRC0699A,Nome não encontrado
Fósforo,mg,"93,0","55,8",BRC0699A,Nome não encontrado
Potássio,mg,333,200,BRC0699A,Nome não encontrado
Manganês,mg,"0,39","0,24",BRC0699A,Nome não encontrado
Zinco,mg,"0,55","0,33",BRC0699A,Nome não encontrado
Cobre,mg,"0,20","0,12",BRC0699A,Nome não encontrado
Selênio,mcg,"17,1","10,2",BRC0699A,Nome não encontrado
Vitamina A (RE),mcg,"12,5","7,51",BRC0699A,Nome não encontrado
Vitamina A (RAE),mcg,"7,31","4,39",BRC0699A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0699A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,47","2,08",BRC0699A,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC0699A,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0699A,Nome não encontrado
Niacina,mg,"0,94","0,57",BRC0699A,Nome não encontrado
Vitamina B6,mg,"0,08","0,05",BRC0699A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0699A,Nome não encontrado
Vitamina C,mg,"2,12","1,27",BRC0699A,Nome não encontrado
Equivalente de folato,mcg,"19,1","11,5",BRC0699A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0699A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0699A,Nome não encontrado
Gordura de adição,g,-,-,BRC0699A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0699A,Nome não encontrado
Proteína animal,g,-,-,BRC0699A,Nome não encontrado
