componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,219,87,54,32,109,BRC0335B,Nome não encontrado
Energia,kcal,52,20,13,7,26,BRC0335B,Nome não encontrado
Umidade,g,"85,3","34,1","21,3","12,8","42,7",BRC0335B,Nome não encontrado
Carboidrato total,g,"10,1","4,06","2,54","1,52","5,07",BRC0335B,Nome não encontrado
Carboidrato disponível,g,"6,30","2,52","1,57","0,94","3,15",BRC0335B,Nome não encontrado
Proteína,g,"1,55","0,62","0,39","0,23","0,78",BRC0335B,Nome não encontrado
Lipídios,g,"1,47","0,59","0,37","0,22","0,74",BRC0335B,Nome não encontrado
Fibra alimentar,g,"3,85","1,54","0,96","0,58","1,93",BRC0335B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Cinzas,g,"1,50","0,60","0,37","0,22","0,75",BRC0335B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,09","0,06","0,03","0,11",BRC0335B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,12","0,07","0,04","0,15",BRC0335B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,85","0,34","0,21","0,13","0,42",BRC0335B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Cálcio,mg,"27,5","11,0","6,88","4,13","13,8",BRC0335B,Nome não encontrado
Ferro,mg,"0,61","0,24","0,15","0,09","0,30",BRC0335B,Nome não encontrado
Sódio,mg,141,"56,7","35,4","21,3","70,9",BRC0335B,Nome não encontrado
Magnésio,mg,"15,0","5,99","3,74","2,25","7,48",BRC0335B,Nome não encontrado
Fósforo,mg,"37,2","14,9","9,31","5,58","18,6",BRC0335B,Nome não encontrado
Potássio,mg,361,144,"90,5","54,3",180,BRC0335B,Nome não encontrado
Manganês,mg,"0,09","0,03","0,02","0,01","0,04",BRC0335B,Nome não encontrado
Zinco,mg,"0,39","0,16","0,10","0,06","0,20",BRC0335B,Nome não encontrado
Cobre,mg,"0,09","0,04","0,02","0,01","0,05",BRC0335B,Nome não encontrado
Selênio,mcg,"0,78","0,31","0,19","0,12","0,39",BRC0335B,Nome não encontrado
Vitamina A (RE),mcg,834,333,208,125,417,BRC0335B,Nome não encontrado
Vitamina A (RAE),mcg,417,166,104,"62,6",208,BRC0335B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,35","0,22","0,13","0,44",BRC0335B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0335B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0335B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0335B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,02","0,01","0,03",BRC0335B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Vitamina C,mg,"5,87","2,35","1,47","0,88","2,94",BRC0335B,Nome não encontrado
Equivalente de folato,mcg,"14,6","5,82","3,64","2,18","7,28",BRC0335B,Nome não encontrado
Sal de adição,g,"0,32","0,13","0,08","0,05","0,16",BRC0335B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0335B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0335B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0335B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0335B,Nome não encontrado
