componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,240,479,BRC0080H,Nome não encontrado
Energia,kcal,57,113,BRC0080H,Nome não encontrado
Umidade,g,"87,3",174,BRC0080H,Nome não encontrado
Carboidrato total,g,"9,15","18,3",BRC0080H,Nome não encontrado
Carboidrato disponível,g,"9,15","18,3",BRC0080H,Nome não encontrado
Proteína,g,"1,59","3,17",BRC0080H,Nome não encontrado
Lipídios,g,"1,54","3,08",BRC0080H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0080H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0080H,Nome não encontrado
Cinzas,g,"0,45","0,90",BRC0080H,Nome não encontrado
Colesterol,mg,"5,81","11,6",BRC0080H,Nome não encontrado
Ácidos graxos saturados,g,"0,95","1,90",BRC0080H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,45","0,91",BRC0080H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,11",BRC0080H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0080H,Nome não encontrado
Cálcio,mg,"54,1",108,BRC0080H,Nome não encontrado
Ferro,mg,"0,17","0,33",BRC0080H,Nome não encontrado
Sódio,mg,"31,0","62,0",BRC0080H,Nome não encontrado
Magnésio,mg,"8,92","17,8",BRC0080H,Nome não encontrado
Fósforo,mg,"42,0","83,9",BRC0080H,Nome não encontrado
Potássio,mg,117,234,BRC0080H,Nome não encontrado
Manganês,mg,"0,13","0,26",BRC0080H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0080H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0080H,Nome não encontrado
Selênio,mcg,,,BRC0080H,Nome não encontrado
Vitamina A (RE),mcg,"23,3","46,6",BRC0080H,Nome não encontrado
Vitamina A (RAE),mcg,"22,9","45,9",BRC0080H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0080H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,09",BRC0080H,Nome não encontrado
Tiamina,mg,"0,02","0,05",BRC0080H,Nome não encontrado
Riboflavina,mg,"0,14","0,27",BRC0080H,Nome não encontrado
Niacina,mg,"0,77","1,54",BRC0080H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0080H,Nome não encontrado
Vitamina B12,mcg,"0,18","0,35",BRC0080H,Nome não encontrado
Vitamina C,mg,traços,,BRC0080H,Nome não encontrado
Equivalente de folato,mcg,"3,00","6,00",BRC0080H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0080H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0080H,Nome não encontrado
Gordura de adição,g,-,-,BRC0080H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0080H,Nome não encontrado
Proteína animal,g,-,-,BRC0080H,Nome não encontrado
