componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (20 g),Escumadeira cheia (105 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,124,37,24,130,86,BRC0101B,Nome não encontrado
Energia,kcal,30,8,5,31,20,BRC0101B,Nome não encontrado
Umidade,g,"92,5","27,7","18,5","97,1","64,7",BRC0101B,Nome não encontrado
Carboidrato total,g,"5,98","1,79","1,20","6,28","4,19",BRC0101B,Nome não encontrado
Carboidrato disponível,g,"4,44","1,33","0,89","4,66","3,10",BRC0101B,Nome não encontrado
Proteína,g,"0,39","0,12","0,08","0,41","0,28",BRC0101B,Nome não encontrado
Lipídios,g,"0,80","0,24","0,16","0,84","0,56",BRC0101B,Nome não encontrado
Fibra alimentar,g,"1,55","0,46","0,31","1,62","1,08",BRC0101B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Cinzas,g,"0,37","0,11","0,07","0,39","0,26",BRC0101B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,04","0,02","0,13","0,08",BRC0101B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,19","0,06","0,04","0,20","0,13",BRC0101B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,45","0,13","0,09","0,47","0,31",BRC0101B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Cálcio,mg,"19,1","5,72","3,82","20,0","13,4",BRC0101B,Nome não encontrado
Ferro,mg,"0,11","0,03","0,02","0,12","0,08",BRC0101B,Nome não encontrado
Sódio,mg,"3,03","0,91","0,61","3,18","2,12",BRC0101B,Nome não encontrado
Magnésio,mg,"7,49","2,25","1,50","7,87","5,24",BRC0101B,Nome não encontrado
Fósforo,mg,"11,7","3,50","2,33","12,2","8,16",BRC0101B,Nome não encontrado
Potássio,mg,183,"55,0","36,6",192,128,BRC0101B,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00","0,02","0,01",BRC0101B,Nome não encontrado
Zinco,mg,"0,08","0,02","0,02","0,09","0,06",BRC0101B,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01","0,05","0,03",BRC0101B,Nome não encontrado
Selênio,mcg,"1,07","0,32","0,21","1,12","0,75",BRC0101B,Nome não encontrado
Vitamina A (RE),mcg,"95,3","28,6","19,1",100,"66,7",BRC0101B,Nome não encontrado
Vitamina A (RAE),mcg,"47,7","14,3","9,53","50,1","33,4",BRC0101B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,51","0,45","0,30","1,59","1,06",BRC0101B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,06","0,04",BRC0101B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0101B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0101B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,05","0,04",BRC0101B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Vitamina C,mg,"6,73","2,02","1,35","7,06","4,71",BRC0101B,Nome não encontrado
Equivalente de folato,mcg,"8,45","2,54","1,69","8,87","5,92",BRC0101B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0101B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0101B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0101B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0101B,Nome não encontrado
