componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,479,287,215,BRC0258E,Nome não encontrado
Energia,kcal,114,68,51,BRC0258E,Nome não encontrado
Umidade,g,"77,0","46,2","34,7",BRC0258E,Nome não encontrado
Carboidrato total,g,"2,94","1,76","1,32",BRC0258E,Nome não encontrado
Carboidrato disponível,g,"1,57","0,94","0,71",BRC0258E,Nome não encontrado
Proteína,g,"14,1","8,43","6,33",BRC0258E,Nome não encontrado
Lipídios,g,"4,56","2,73","2,05",BRC0258E,Nome não encontrado
Fibra alimentar,g,"1,37","0,82","0,62",BRC0258E,Nome não encontrado
Álcool,g,"0,01","0,01","0,00",BRC0258E,Nome não encontrado
Cinzas,g,"1,43","0,86","0,64",BRC0258E,Nome não encontrado
Colesterol,mg,"24,0","14,4","10,8",BRC0258E,Nome não encontrado
Ácidos graxos saturados,g,"1,53","0,92","0,69",BRC0258E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,53","0,92","0,69",BRC0258E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,10","0,66","0,49",BRC0258E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0258E,Nome não encontrado
Cálcio,mg,"32,4","19,4","14,6",BRC0258E,Nome não encontrado
Ferro,mg,"0,91","0,55","0,41",BRC0258E,Nome não encontrado
Sódio,mg,128,"77,2","57,9",BRC0258E,Nome não encontrado
Magnésio,mg,"26,1","15,6","11,7",BRC0258E,Nome não encontrado
Fósforo,mg,114,"68,5","51,4",BRC0258E,Nome não encontrado
Potássio,mg,141,"84,9","63,7",BRC0258E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02",BRC0258E,Nome não encontrado
Zinco,mg,"1,32","0,79","0,60",BRC0258E,Nome não encontrado
Cobre,mg,"1,25","0,75","0,56",BRC0258E,Nome não encontrado
Selênio,mcg,"0,19","0,12","0,09",BRC0258E,Nome não encontrado
Vitamina A (RE),mcg,348,208,156,BRC0258E,Nome não encontrado
Vitamina A (RAE),mcg,199,119,"89,6",BRC0258E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0258E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,45","0,27","0,20",BRC0258E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0258E,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0258E,Nome não encontrado
Niacina,mg,"2,48","1,49","1,12",BRC0258E,Nome não encontrado
Vitamina B6,mg,"0,10","0,06","0,04",BRC0258E,Nome não encontrado
Vitamina B12,mcg,"1,85","1,11","0,83",BRC0258E,Nome não encontrado
Vitamina C,mg,"10,1","6,04","4,53",BRC0258E,Nome não encontrado
Equivalente de folato,mcg,"8,58","5,15","3,86",BRC0258E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0258E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0258E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0258E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0258E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0258E,Nome não encontrado
