componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,907,BRC0977F,Nome não encontrado
Energia,kcal,215,BRC0977F,Nome não encontrado
Umidade,g,"71,3",BRC0977F,Nome não encontrado
Carboidrato total,g,"0,12",BRC0977F,Nome não encontrado
Carboidrato disponível,g,"0,08",BRC0977F,Nome não encontrado
Proteína,g,"25,1",BRC0977F,Nome não encontrado
Lipídios,g,"2,08",BRC0977F,Nome não encontrado
Fibra alimentar,g,"0,04",BRC0977F,Nome não encontrado
Álcool,g,"0,00",BRC0977F,Nome não encontrado
Cinzas,g,"1,45",BRC0977F,Nome não encontrado
Colesterol,mg,"79,9",BRC0977F,Nome não encontrado
Ácidos graxos saturados,g,"0,41",BRC0977F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38",BRC0977F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,37",BRC0977F,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0977F,Nome não encontrado
Cálcio,mg,"13,2",BRC0977F,Nome não encontrado
Ferro,mg,"0,71",BRC0977F,Nome não encontrado
Sódio,mg,304,BRC0977F,Nome não encontrado
Magnésio,mg,"27,0",BRC0977F,Nome não encontrado
Fósforo,mg,191,BRC0977F,Nome não encontrado
Potássio,mg,206,BRC0977F,Nome não encontrado
Manganês,mg,"0,02",BRC0977F,Nome não encontrado
Zinco,mg,"1,44",BRC0977F,Nome não encontrado
Cobre,mg,"0,07",BRC0977F,Nome não encontrado
Selênio,mcg,"0,01",BRC0977F,Nome não encontrado
Vitamina A (RE),mcg,"1,04",BRC0977F,Nome não encontrado
Vitamina A (RAE),mcg,"8,94",BRC0977F,Nome não encontrado
Vitamina D,mcg,"0,13",BRC0977F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09",BRC0977F,Nome não encontrado
Tiamina,mg,"0,03",BRC0977F,Nome não encontrado
Riboflavina,mg,"0,12",BRC0977F,Nome não encontrado
Niacina,mg,"7,77",BRC0977F,Nome não encontrado
Vitamina B6,mg,"0,64",BRC0977F,Nome não encontrado
Vitamina B12,mcg,"0,56",BRC0977F,Nome não encontrado
Vitamina C,mg,"0,11",BRC0977F,Nome não encontrado
Equivalente de folato,mcg,"7,99",BRC0977F,Nome não encontrado
Sal de adição,g,"0,00",BRC0977F,Nome não encontrado
Açúcar de adição,g,"0,45",BRC0977F,Nome não encontrado
Gordura de adição,g,-,BRC0977F,Nome não encontrado
Proteína vegetal,g,-,BRC0977F,Nome não encontrado
Proteína animal,g,-,BRC0977F,Nome não encontrado
