componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,2,4,2,5,BRC0050N,Nome não encontrado
Energia,kcal,0,0,0,1,BRC0050N,Nome não encontrado
Umidade,g,"99,8",239,164,349,BRC0050N,Nome não encontrado
Carboidrato total,g,-,-,-,-,BRC0050N,Nome não encontrado
Carboidrato disponível,g,-,-,-,-,BRC0050N,Nome não encontrado
Proteína,g,"0,10","0,24","0,17","0,35",BRC0050N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Cinzas,g,"0,10","0,24","0,17","0,35",BRC0050N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Cálcio,mg,"1,41","3,38","2,32","4,93",BRC0050N,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Sódio,mg,"13,9","33,4","22,9","48,7",BRC0050N,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Fósforo,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Potássio,mg,"1,38","3,31","2,28","4,83",BRC0050N,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0050N,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Açúcar de adição,g,,,,,BRC0050N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
Proteína vegetal,g,"0,10","0,24","0,17","0,35",BRC0050N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0050N,Nome não encontrado
