componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,293,58,380,BRC0663A,Nome não encontrado
Energia,kcal,69,13,90,BRC0663A,Nome não encontrado
Umidade,g,"82,8","16,6",107,BRC0663A,Nome não encontrado
Carboidrato total,g,"13,4","2,67","17,4",BRC0663A,Nome não encontrado
Carboidrato disponível,g,"12,2","2,44","15,9",BRC0663A,Nome não encontrado
Proteína,g,"1,93","0,39","2,51",BRC0663A,Nome não encontrado
Lipídios,g,"1,17","0,23","1,51",BRC0663A,Nome não encontrado
Fibra alimentar,g,"1,15","0,23","1,50",BRC0663A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0663A,Nome não encontrado
Cinzas,g,"0,88","0,18","1,14",BRC0663A,Nome não encontrado
Colesterol,mg,"1,47","0,29","1,91",BRC0663A,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,04","0,27",BRC0663A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,34","0,07","0,44",BRC0663A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,14","0,88",BRC0663A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0663A,Nome não encontrado
Cálcio,mg,"5,10","1,02","6,63",BRC0663A,Nome não encontrado
Ferro,mg,"0,89","0,18","1,16",BRC0663A,Nome não encontrado
Sódio,mg,420,"84,1",546,BRC0663A,Nome não encontrado
Magnésio,mg,"3,97","0,79","5,16",BRC0663A,Nome não encontrado
Fósforo,mg,"17,3","3,47","22,5",BRC0663A,Nome não encontrado
Potássio,mg,"83,6","16,7",108,BRC0663A,Nome não encontrado
Manganês,mg,"0,03","0,01","0,04",BRC0663A,Nome não encontrado
Zinco,mg,"0,07","0,01","0,10",BRC0663A,Nome não encontrado
Cobre,mg,"0,04","0,01","0,05",BRC0663A,Nome não encontrado
Selênio,mcg,"0,86","0,17","1,12",BRC0663A,Nome não encontrado
Vitamina A (RE),mcg,"36,9","7,39","48,0",BRC0663A,Nome não encontrado
Vitamina A (RAE),mcg,"18,9","3,78","24,6",BRC0663A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0663A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,04","0,23",BRC0663A,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,03",BRC0663A,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0663A,Nome não encontrado
Niacina,mg,"0,17","0,03","0,22",BRC0663A,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,02",BRC0663A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0663A,Nome não encontrado
Vitamina C,mg,"0,75","0,15","0,98",BRC0663A,Nome não encontrado
Equivalente de folato,mcg,"36,7","7,33","47,7",BRC0663A,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0663A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0663A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0663A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0663A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0663A,Nome não encontrado
