componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,548,301,BRC0370N,Nome não encontrado
Energia,kcal,131,71,BRC0370N,Nome não encontrado
Umidade,g,"73,1","40,2",BRC0370N,Nome não encontrado
Carboidrato total,g,"9,99","5,50",BRC0370N,Nome não encontrado
Carboidrato disponível,g,"7,73","4,25",BRC0370N,Nome não encontrado
Proteína,g,"10,2","5,64",BRC0370N,Nome não encontrado
Lipídios,g,"6,05","3,33",BRC0370N,Nome não encontrado
Fibra alimentar,g,"2,26","1,24",BRC0370N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0370N,Nome não encontrado
Cinzas,g,"0,62","0,34",BRC0370N,Nome não encontrado
Colesterol,mg,"32,7","18,0",BRC0370N,Nome não encontrado
Ácidos graxos saturados,g,"2,11","1,16",BRC0370N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,75","0,96",BRC0370N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,70","0,94",BRC0370N,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,06",BRC0370N,Nome não encontrado
Cálcio,mg,"12,6","6,95",BRC0370N,Nome não encontrado
Ferro,mg,"1,17","0,64",BRC0370N,Nome não encontrado
Sódio,mg,"50,1","27,5",BRC0370N,Nome não encontrado
Magnésio,mg,"21,6","11,9",BRC0370N,Nome não encontrado
Fósforo,mg,"83,3","45,8",BRC0370N,Nome não encontrado
Potássio,mg,174,"95,8",BRC0370N,Nome não encontrado
Manganês,mg,"0,26","0,14",BRC0370N,Nome não encontrado
Zinco,mg,"2,70","1,49",BRC0370N,Nome não encontrado
Cobre,mg,"0,12","0,06",BRC0370N,Nome não encontrado
Selênio,mcg,"0,40","0,22",BRC0370N,Nome não encontrado
Vitamina A (RE),mcg,"14,9","8,22",BRC0370N,Nome não encontrado
Vitamina A (RAE),mcg,"7,66","4,22",BRC0370N,Nome não encontrado
Vitamina D,mcg,"0,83","0,46",BRC0370N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,19",BRC0370N,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0370N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0370N,Nome não encontrado
Niacina,mg,"0,56","0,31",BRC0370N,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0370N,Nome não encontrado
Vitamina B12,mcg,"0,81","0,44",BRC0370N,Nome não encontrado
Vitamina C,mg,"0,47","0,26",BRC0370N,Nome não encontrado
Equivalente de folato,mcg,"29,6","16,3",BRC0370N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0370N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0370N,Nome não encontrado
Gordura de adição,g,-,-,BRC0370N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0370N,Nome não encontrado
Proteína animal,g,-,-,BRC0370N,Nome não encontrado
