componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,495,148,BRC0077K,Nome não encontrado
Energia,kcal,116,34,BRC0077K,Nome não encontrado
Umidade,g,"70,9","21,3",BRC0077K,Nome não encontrado
Carboidrato total,g,"29,1","8,73",BRC0077K,Nome não encontrado
Carboidrato disponível,g,"29,1","8,73",BRC0077K,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0077K,Nome não encontrado
Lipídios,g,,,BRC0077K,Nome não encontrado
Fibra alimentar,g,,,BRC0077K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0077K,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0077K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0077K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0077K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0077K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0077K,Nome não encontrado
Cálcio,mg,"6,54","1,96",BRC0077K,Nome não encontrado
Ferro,mg,"0,52","0,16",BRC0077K,Nome não encontrado
Sódio,mg,"0,33","0,10",BRC0077K,Nome não encontrado
Magnésio,mg,"0,33","0,10",BRC0077K,Nome não encontrado
Fósforo,mg,"2,29","0,69",BRC0077K,Nome não encontrado
Potássio,mg,"3,60","1,08",BRC0077K,Nome não encontrado
Manganês,mg,,,BRC0077K,Nome não encontrado
Zinco,mg,"0,04","0,01",BRC0077K,Nome não encontrado
Cobre,mg,,,BRC0077K,Nome não encontrado
Selênio,mcg,,,BRC0077K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0077K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0077K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0077K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0077K,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0077K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0077K,Nome não encontrado
Equivalente de folato,mcg,"1,31","0,39",BRC0077K,Nome não encontrado
Sal de adição,g,,,BRC0077K,Nome não encontrado
Açúcar de adição,g,,,BRC0077K,Nome não encontrado
Gordura de adição,g,,,BRC0077K,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0077K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0077K,Nome não encontrado
