componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,202,40,262,BRC0817B,Nome não encontrado
Energia,kcal,48,9,62,BRC0817B,Nome não encontrado
Umidade,g,"90,0","18,0",116,BRC0817B,Nome não encontrado
Carboidrato total,g,"5,08","1,02","6,61",BRC0817B,Nome não encontrado
Carboidrato disponível,g,"3,97","0,79","5,17",BRC0817B,Nome não encontrado
Proteína,g,"1,20","0,24","1,56",BRC0817B,Nome não encontrado
Lipídios,g,"2,84","0,57","3,69",BRC0817B,Nome não encontrado
Fibra alimentar,g,"1,11","0,22","1,44",BRC0817B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0817B,Nome não encontrado
Cinzas,g,"0,85","0,17","1,11",BRC0817B,Nome não encontrado
Colesterol,mg,"5,93","1,19","7,71",BRC0817B,Nome não encontrado
Ácidos graxos saturados,g,"1,33","0,27","1,73",BRC0817B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","0,14","0,92",BRC0817B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,53","0,11","0,69",BRC0817B,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,06",BRC0817B,Nome não encontrado
Cálcio,mg,"33,6","6,71","43,6",BRC0817B,Nome não encontrado
Ferro,mg,"0,20","0,04","0,26",BRC0817B,Nome não encontrado
Sódio,mg,204,"40,9",265,BRC0817B,Nome não encontrado
Magnésio,mg,"7,51","1,50","9,77",BRC0817B,Nome não encontrado
Fósforo,mg,"31,1","6,23","40,5",BRC0817B,Nome não encontrado
Potássio,mg,146,"29,2",190,BRC0817B,Nome não encontrado
Manganês,mg,"0,03","0,01","0,04",BRC0817B,Nome não encontrado
Zinco,mg,"0,18","0,04","0,24",BRC0817B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,03",BRC0817B,Nome não encontrado
Selênio,mcg,"1,33","0,27","1,73",BRC0817B,Nome não encontrado
Vitamina A (RE),mcg,325,"65,0",422,BRC0817B,Nome não encontrado
Vitamina A (RAE),mcg,175,"35,2",228,BRC0817B,Nome não encontrado
Vitamina D,mcg,"0,26","0,05","0,34",BRC0817B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,12","0,78",BRC0817B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0817B,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,07",BRC0817B,Nome não encontrado
Niacina,mg,"1,07","0,21","1,39",BRC0817B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0817B,Nome não encontrado
Vitamina B12,mcg,"0,08","0,02","0,11",BRC0817B,Nome não encontrado
Vitamina C,mg,"0,50","0,10","0,64",BRC0817B,Nome não encontrado
Equivalente de folato,mcg,"4,69","0,94","6,09",BRC0817B,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,42",BRC0817B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0817B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0817B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0817B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0817B,Nome não encontrado
