componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (120 g),codigo_alimento,nome_alimento
Energia,kJ,617,740,BRC0020E,Nome não encontrado
Energia,kcal,148,177,BRC0020E,Nome não encontrado
Umidade,g,"72,6","87,1",BRC0020E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0020E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0020E,Nome não encontrado
Proteína,g,"18,0","21,6",BRC0020E,Nome não encontrado
Lipídios,g,"8,42","10,1",BRC0020E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0020E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0020E,Nome não encontrado
Cinzas,g,"1,04","1,24",BRC0020E,Nome não encontrado
Colesterol,mg,"40,2","48,3",BRC0020E,Nome não encontrado
Ácidos graxos saturados,g,"2,50","3,00",BRC0020E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,30","2,76",BRC0020E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,36",BRC0020E,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,05",BRC0020E,Nome não encontrado
Cálcio,mg,"40,1","48,1",BRC0020E,Nome não encontrado
Ferro,mg,"0,50","0,60",BRC0020E,Nome não encontrado
Sódio,mg,"47,0","56,4",BRC0020E,Nome não encontrado
Magnésio,mg,"22,8","27,3",BRC0020E,Nome não encontrado
Fósforo,mg,190,228,BRC0020E,Nome não encontrado
Potássio,mg,316,380,BRC0020E,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0020E,Nome não encontrado
Zinco,mg,"0,65","0,78",BRC0020E,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0020E,Nome não encontrado
Selênio,mcg,,,BRC0020E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0020E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0020E,Nome não encontrado
Vitamina D,mcg,,,BRC0020E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0020E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0020E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0020E,Nome não encontrado
Niacina,mg,"3,04","3,64",BRC0020E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0020E,Nome não encontrado
Vitamina B12,mcg,,,BRC0020E,Nome não encontrado
Vitamina C,mg,,,BRC0020E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0020E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0020E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0020E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0020E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0020E,Nome não encontrado
Proteína animal,g,"18,0","21,6",BRC0020E,Nome não encontrado
