componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,1288,1030,BRC0254T,Nome não encontrado
Energia,kcal,306,244,BRC0254T,Nome não encontrado
Umidade,g,"12,0","9,57",BRC0254T,Nome não encontrado
Carboidrato total,g,"60,4","48,3",BRC0254T,Nome não encontrado
Carboidrato disponível,g,"40,0","32,0",BRC0254T,Nome não encontrado
Proteína,g,"22,1","17,7",BRC0254T,Nome não encontrado
Lipídios,g,"1,87","1,50",BRC0254T,Nome não encontrado
Fibra alimentar,g,"20,4","16,3",BRC0254T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0254T,Nome não encontrado
Cinzas,g,"3,67","2,94",BRC0254T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0254T,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,24",BRC0254T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,12",BRC0254T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,34","1,07",BRC0254T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0254T,Nome não encontrado
Cálcio,mg,106,"84,9",BRC0254T,Nome não encontrado
Ferro,mg,"6,99","5,59",BRC0254T,Nome não encontrado
Sódio,mg,"0,95","0,76",BRC0254T,Nome não encontrado
Magnésio,mg,147,117,BRC0254T,Nome não encontrado
Fósforo,mg,367,294,BRC0254T,Nome não encontrado
Potássio,mg,1361,1088,BRC0254T,Nome não encontrado
Manganês,mg,"1,26","1,01",BRC0254T,Nome não encontrado
Zinco,mg,"2,83","2,27",BRC0254T,Nome não encontrado
Cobre,mg,"0,76","0,61",BRC0254T,Nome não encontrado
Selênio,mcg,"0,10","0,08",BRC0254T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0254T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0254T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0254T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,26",BRC0254T,Nome não encontrado
Tiamina,mg,"0,17","0,14",BRC0254T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0254T,Nome não encontrado
Niacina,mg,"4,12","3,29",BRC0254T,Nome não encontrado
Vitamina B6,mg,"0,67","0,53",BRC0254T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0254T,Nome não encontrado
Vitamina C,mg,"6,26","5,00",BRC0254T,Nome não encontrado
Equivalente de folato,mcg,521,417,BRC0254T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0254T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0254T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0254T,Nome não encontrado
Proteína vegetal,g,"22,1","17,7",BRC0254T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0254T,Nome não encontrado
