componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,115,28,BRC0242B,Nome não encontrado
Energia,kcal,28,6,BRC0242B,Nome não encontrado
Umidade,g,"91,7","22,9",BRC0242B,Nome não encontrado
Carboidrato total,g,"4,63","1,16",BRC0242B,Nome não encontrado
Carboidrato disponível,g,"2,35","0,59",BRC0242B,Nome não encontrado
Proteína,g,"2,21","0,55",BRC0242B,Nome não encontrado
Lipídios,g,"0,53","0,13",BRC0242B,Nome não encontrado
Fibra alimentar,g,"2,29","0,57",BRC0242B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0242B,Nome não encontrado
Cinzas,g,"0,89","0,22",BRC0242B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0242B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0242B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,03",BRC0242B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01",BRC0242B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0242B,Nome não encontrado
Cálcio,mg,"78,3","19,6",BRC0242B,Nome não encontrado
Ferro,mg,"1,00","0,25",BRC0242B,Nome não encontrado
Sódio,mg,130,"32,6",BRC0242B,Nome não encontrado
Magnésio,mg,"11,3","2,83",BRC0242B,Nome não encontrado
Fósforo,mg,"63,5","15,9",BRC0242B,Nome não encontrado
Potássio,mg,219,"54,9",BRC0242B,Nome não encontrado
Manganês,mg,"0,15","0,04",BRC0242B,Nome não encontrado
Zinco,mg,"0,26","0,06",BRC0242B,Nome não encontrado
Cobre,mg,"0,06","0,01",BRC0242B,Nome não encontrado
Selênio,mcg,"0,69","0,17",BRC0242B,Nome não encontrado
Vitamina A (RE),mcg,953,238,BRC0242B,Nome não encontrado
Vitamina A (RAE),mcg,476,119,BRC0242B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0242B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,52","0,63",BRC0242B,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0242B,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0242B,Nome não encontrado
Niacina,mg,traços,traços,BRC0242B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0242B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0242B,Nome não encontrado
Vitamina C,mg,"18,6","4,66",BRC0242B,Nome não encontrado
Equivalente de folato,mcg,"5,12","1,28",BRC0242B,Nome não encontrado
Sal de adição,g,"0,32","0,08",BRC0242B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0242B,Nome não encontrado
Gordura de adição,g,-,-,BRC0242B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0242B,Nome não encontrado
Proteína animal,g,-,-,BRC0242B,Nome não encontrado
