componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,464,BRC1012B,Nome não encontrado
Energia,kcal,111,BRC1012B,Nome não encontrado
Umidade,g,"76,5",BRC1012B,Nome não encontrado
Carboidrato total,g,"16,6",BRC1012B,Nome não encontrado
Carboidrato disponível,g,"14,4",BRC1012B,Nome não encontrado
Proteína,g,"1,61",BRC1012B,Nome não encontrado
Lipídios,g,"4,72",BRC1012B,Nome não encontrado
Fibra alimentar,g,"2,24",BRC1012B,Nome não encontrado
Álcool,g,"0,00",BRC1012B,Nome não encontrado
Cinzas,g,"0,60",BRC1012B,Nome não encontrado
Colesterol,mg,"11,9",BRC1012B,Nome não encontrado
Ácidos graxos saturados,g,"2,80",BRC1012B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,19",BRC1012B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14",BRC1012B,Nome não encontrado
Ácidos graxos trans,g,"0,14",BRC1012B,Nome não encontrado
Cálcio,mg,"15,3",BRC1012B,Nome não encontrado
Ferro,mg,"0,27",BRC1012B,Nome não encontrado
Sódio,mg,"7,42",BRC1012B,Nome não encontrado
Magnésio,mg,"13,7",BRC1012B,Nome não encontrado
Fósforo,mg,"32,2",BRC1012B,Nome não encontrado
Potássio,mg,186,BRC1012B,Nome não encontrado
Manganês,mg,"0,02",BRC1012B,Nome não encontrado
Zinco,mg,"0,24",BRC1012B,Nome não encontrado
Cobre,mg,"0,10",BRC1012B,Nome não encontrado
Selênio,mcg,"0,95",BRC1012B,Nome não encontrado
Vitamina A (RE),mcg,"57,0",BRC1012B,Nome não encontrado
Vitamina A (RAE),mcg,"56,2",BRC1012B,Nome não encontrado
Vitamina D,mcg,"0,00",BRC1012B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43",BRC1012B,Nome não encontrado
Tiamina,mg,"0,10",BRC1012B,Nome não encontrado
Riboflavina,mg,"0,02",BRC1012B,Nome não encontrado
Niacina,mg,"0,14",BRC1012B,Nome não encontrado
Vitamina B6,mg,"0,10",BRC1012B,Nome não encontrado
Vitamina B12,mcg,"0,04",BRC1012B,Nome não encontrado
Vitamina C,mg,"0,00",BRC1012B,Nome não encontrado
Equivalente de folato,mcg,"9,61",BRC1012B,Nome não encontrado
Sal de adição,g,"0,00",BRC1012B,Nome não encontrado
Açúcar de adição,g,"0,00",BRC1012B,Nome não encontrado
Gordura de adição,g,-,BRC1012B,Nome não encontrado
Proteína vegetal,g,-,BRC1012B,Nome não encontrado
Proteína animal,g,-,BRC1012B,Nome não encontrado
