componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,469,328,234,BRC0771B,Nome não encontrado
Energia,kcal,112,78,56,BRC0771B,Nome não encontrado
Umidade,g,"76,0","53,2","38,0",BRC0771B,Nome não encontrado
Carboidrato total,g,"10,9","7,62","5,44",BRC0771B,Nome não encontrado
Carboidrato disponível,g,"10,8","7,53","5,38",BRC0771B,Nome não encontrado
Proteína,g,"5,22","3,65","2,61",BRC0771B,Nome não encontrado
Lipídios,g,"4,67","3,27","2,34",BRC0771B,Nome não encontrado
Fibra alimentar,g,"2,19","1,53","1,09",BRC0771B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0771B,Nome não encontrado
Cinzas,g,"1,19","0,84","0,60",BRC0771B,Nome não encontrado
Colesterol,mg,"32,3","22,6","16,1",BRC0771B,Nome não encontrado
Ácidos graxos saturados,g,"1,59","1,11","0,79",BRC0771B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,56","1,09","0,78",BRC0771B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,34","0,94","0,67",BRC0771B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0771B,Nome não encontrado
Cálcio,mg,"22,8","15,9","11,4",BRC0771B,Nome não encontrado
Ferro,mg,"3,51","2,45","1,75",BRC0771B,Nome não encontrado
Sódio,mg,276,193,138,BRC0771B,Nome não encontrado
Magnésio,mg,"18,0","12,6","9,00",BRC0771B,Nome não encontrado
Fósforo,mg,"52,6","36,8","26,3",BRC0771B,Nome não encontrado
Potássio,mg,138,"97,1","69,3",BRC0771B,Nome não encontrado
Manganês,mg,"0,18","0,13","0,09",BRC0771B,Nome não encontrado
Zinco,mg,"0,57","0,40","0,29",BRC0771B,Nome não encontrado
Cobre,mg,"0,23","0,16","0,12",BRC0771B,Nome não encontrado
Selênio,mcg,"4,74","3,32","2,37",BRC0771B,Nome não encontrado
Vitamina A (RE),mcg,381,267,190,BRC0771B,Nome não encontrado
Vitamina A (RAE),mcg,224,157,112,BRC0771B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0771B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","0,77","0,55",BRC0771B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02",BRC0771B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0771B,Nome não encontrado
Niacina,mg,"0,61","0,43","0,30",BRC0771B,Nome não encontrado
Vitamina B6,mg,"0,07","0,05","0,04",BRC0771B,Nome não encontrado
Vitamina B12,mcg,"2,50","1,75","1,25",BRC0771B,Nome não encontrado
Vitamina C,mg,"12,9","9,04","6,46",BRC0771B,Nome não encontrado
Equivalente de folato,mcg,"11,4","8,00","5,71",BRC0771B,Nome não encontrado
Sal de adição,g,"0,47","0,33","0,24",BRC0771B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0771B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0771B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0771B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0771B,Nome não encontrado
