componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,447,246,BRC0333N,Nome não encontrado
Energia,kcal,107,58,BRC0333N,Nome não encontrado
Umidade,g,"76,9","42,3",BRC0333N,Nome não encontrado
Carboidrato total,g,"7,65","4,21",BRC0333N,Nome não encontrado
Carboidrato disponível,g,"5,53","3,04",BRC0333N,Nome não encontrado
Proteína,g,"10,6","5,84",BRC0333N,Nome não encontrado
Lipídios,g,"4,21","2,31",BRC0333N,Nome não encontrado
Fibra alimentar,g,"2,12","1,16",BRC0333N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0333N,Nome não encontrado
Cinzas,g,"0,66","0,36",BRC0333N,Nome não encontrado
Colesterol,mg,"17,5","9,63",BRC0333N,Nome não encontrado
Ácidos graxos saturados,g,"1,21","0,67",BRC0333N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,36","1,30",BRC0333N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,34","0,19",BRC0333N,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03",BRC0333N,Nome não encontrado
Cálcio,mg,"10,9","6,01",BRC0333N,Nome não encontrado
Ferro,mg,"1,11","0,61",BRC0333N,Nome não encontrado
Sódio,mg,"19,9","11,0",BRC0333N,Nome não encontrado
Magnésio,mg,"14,0","7,68",BRC0333N,Nome não encontrado
Fósforo,mg,"80,3","44,2",BRC0333N,Nome não encontrado
Potássio,mg,202,111,BRC0333N,Nome não encontrado
Manganês,mg,"0,14","0,08",BRC0333N,Nome não encontrado
Zinco,mg,"2,37","1,30",BRC0333N,Nome não encontrado
Cobre,mg,"0,16","0,09",BRC0333N,Nome não encontrado
Selênio,mcg,"0,75","0,41",BRC0333N,Nome não encontrado
Vitamina A (RE),mcg,"79,4","43,7",BRC0333N,Nome não encontrado
Vitamina A (RAE),mcg,"40,2","22,1",BRC0333N,Nome não encontrado
Vitamina D,mcg,"0,09","0,05",BRC0333N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,27","0,70",BRC0333N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0333N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0333N,Nome não encontrado
Niacina,mg,"1,06","0,58",BRC0333N,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0333N,Nome não encontrado
Vitamina B12,mcg,"0,41","0,22",BRC0333N,Nome não encontrado
Vitamina C,mg,"4,35","2,39",BRC0333N,Nome não encontrado
Equivalente de folato,mcg,"17,7","9,76",BRC0333N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0333N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0333N,Nome não encontrado
Gordura de adição,g,-,-,BRC0333N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0333N,Nome não encontrado
Proteína animal,g,-,-,BRC0333N,Nome não encontrado
