componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,610,610,BRC0056J,Nome não encontrado
Energia,kcal,147,146,BRC0056J,Nome não encontrado
Umidade,g,"74,9","74,9",BRC0056J,Nome não encontrado
Carboidrato total,g,"2,93","2,93",BRC0056J,Nome não encontrado
Carboidrato disponível,g,"2,38","2,38",BRC0056J,Nome não encontrado
Proteína,g,"9,96","9,96",BRC0056J,Nome não encontrado
Lipídios,g,"10,7","10,7",BRC0056J,Nome não encontrado
Fibra alimentar,g,"0,55","0,55",BRC0056J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0056J,Nome não encontrado
Cinzas,g,"1,51","1,51",BRC0056J,Nome não encontrado
Colesterol,mg,237,237,BRC0056J,Nome não encontrado
Ácidos graxos saturados,g,"3,68","3,68",BRC0056J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,45","3,45",BRC0056J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,03","2,03",BRC0056J,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,09",BRC0056J,Nome não encontrado
Cálcio,mg,108,108,BRC0056J,Nome não encontrado
Ferro,mg,"1,25","1,25",BRC0056J,Nome não encontrado
Sódio,mg,346,346,BRC0056J,Nome não encontrado
Magnésio,mg,"11,2","11,2",BRC0056J,Nome não encontrado
Fósforo,mg,154,154,BRC0056J,Nome não encontrado
Potássio,mg,135,135,BRC0056J,Nome não encontrado
Manganês,mg,"0,04","0,04",BRC0056J,Nome não encontrado
Zinco,mg,"1,28","1,28",BRC0056J,Nome não encontrado
Cobre,mg,"0,05","0,05",BRC0056J,Nome não encontrado
Selênio,mcg,"11,4","11,4",BRC0056J,Nome não encontrado
Vitamina A (RE),mcg,121,121,BRC0056J,Nome não encontrado
Vitamina A (RAE),mcg,120,120,BRC0056J,Nome não encontrado
Vitamina D,mcg,"1,25","1,25",BRC0056J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,11","1,11",BRC0056J,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0056J,Nome não encontrado
Riboflavina,mg,"0,37","0,37",BRC0056J,Nome não encontrado
Niacina,mg,"0,47","0,47",BRC0056J,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0056J,Nome não encontrado
Vitamina B12,mcg,"0,77","0,77",BRC0056J,Nome não encontrado
Vitamina C,mg,"5,83","5,83",BRC0056J,Nome não encontrado
Equivalente de folato,mcg,"29,5","29,5",BRC0056J,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0056J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0056J,Nome não encontrado
Gordura de adição,g,-,-,BRC0056J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0056J,Nome não encontrado
Proteína animal,g,-,-,BRC0056J,Nome não encontrado
