componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,547,300,BRC0368N,Nome não encontrado
Energia,kcal,131,71,BRC0368N,Nome não encontrado
Umidade,g,"72,9","40,1",BRC0368N,Nome não encontrado
Carboidrato total,g,"9,97","5,48",BRC0368N,Nome não encontrado
Carboidrato disponível,g,"7,71","4,24",BRC0368N,Nome não encontrado
Proteína,g,"10,2","5,63",BRC0368N,Nome não encontrado
Lipídios,g,"6,05","3,33",BRC0368N,Nome não encontrado
Fibra alimentar,g,"2,26","1,24",BRC0368N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0368N,Nome não encontrado
Cinzas,g,"0,87","0,48",BRC0368N,Nome não encontrado
Colesterol,mg,"32,7","18,0",BRC0368N,Nome não encontrado
Ácidos graxos saturados,g,"2,09","1,15",BRC0368N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,74","1,51",BRC0368N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,40",BRC0368N,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,05",BRC0368N,Nome não encontrado
Cálcio,mg,"12,7","6,97",BRC0368N,Nome não encontrado
Ferro,mg,"1,18","0,65",BRC0368N,Nome não encontrado
Sódio,mg,149,"82,5",BRC0368N,Nome não encontrado
Magnésio,mg,"21,6","11,9",BRC0368N,Nome não encontrado
Fósforo,mg,"83,2","45,8",BRC0368N,Nome não encontrado
Potássio,mg,173,"95,5",BRC0368N,Nome não encontrado
Manganês,mg,"0,26","0,14",BRC0368N,Nome não encontrado
Zinco,mg,"2,70","1,49",BRC0368N,Nome não encontrado
Cobre,mg,"0,11","0,06",BRC0368N,Nome não encontrado
Selênio,mcg,"0,40","0,22",BRC0368N,Nome não encontrado
Vitamina A (RE),mcg,"14,9","8,18",BRC0368N,Nome não encontrado
Vitamina A (RAE),mcg,"7,63","4,20",BRC0368N,Nome não encontrado
Vitamina D,mcg,"0,83","0,46",BRC0368N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,22",BRC0368N,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0368N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0368N,Nome não encontrado
Niacina,mg,"0,56","0,31",BRC0368N,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0368N,Nome não encontrado
Vitamina B12,mcg,"0,81","0,44",BRC0368N,Nome não encontrado
Vitamina C,mg,"0,46","0,25",BRC0368N,Nome não encontrado
Equivalente de folato,mcg,"29,5","16,2",BRC0368N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0368N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0368N,Nome não encontrado
Gordura de adição,g,-,-,BRC0368N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0368N,Nome não encontrado
Proteína animal,g,-,-,BRC0368N,Nome não encontrado
