componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,218,43,283,BRC0233T,Nome não encontrado
Energia,kcal,52,10,67,BRC0233T,Nome não encontrado
Umidade,g,"83,4","16,7",108,BRC0233T,Nome não encontrado
Carboidrato total,g,"9,22","1,84","12,0",BRC0233T,Nome não encontrado
Carboidrato disponível,g,"6,35","1,27","8,25",BRC0233T,Nome não encontrado
Proteína,g,"5,25","1,05","6,83",BRC0233T,Nome não encontrado
Lipídios,g,"1,69","0,34","2,19",BRC0233T,Nome não encontrado
Fibra alimentar,g,"2,87","0,57","3,73",BRC0233T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0233T,Nome não encontrado
Cinzas,g,"0,47","0,09","0,61",BRC0233T,Nome não encontrado
Colesterol,mg,"6,19","1,24","8,05",BRC0233T,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,09","0,61",BRC0233T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,10","0,66",BRC0233T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,12","0,75",BRC0233T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,03",BRC0233T,Nome não encontrado
Cálcio,mg,"16,1","3,21","20,9",BRC0233T,Nome não encontrado
Ferro,mg,"0,71","0,14","0,93",BRC0233T,Nome não encontrado
Sódio,mg,"8,07","1,61","10,5",BRC0233T,Nome não encontrado
Magnésio,mg,"15,8","3,16","20,5",BRC0233T,Nome não encontrado
Fósforo,mg,"54,4","10,9","70,8",BRC0233T,Nome não encontrado
Potássio,mg,157,"31,6",205,BRC0233T,Nome não encontrado
Manganês,mg,"0,15","0,03","0,20",BRC0233T,Nome não encontrado
Zinco,mg,"1,25","0,25","1,63",BRC0233T,Nome não encontrado
Cobre,mg,"0,17","0,03","0,22",BRC0233T,Nome não encontrado
Selênio,mcg,"0,94","0,19","1,22",BRC0233T,Nome não encontrado
Vitamina A (RE),mcg,"28,4","5,67","36,9",BRC0233T,Nome não encontrado
Vitamina A (RAE),mcg,"14,4","2,88","18,7",BRC0233T,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,04",BRC0233T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,06","0,40",BRC0233T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0233T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0233T,Nome não encontrado
Niacina,mg,"0,34","0,07","0,45",BRC0233T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0233T,Nome não encontrado
Vitamina B12,mcg,"0,14","0,03","0,18",BRC0233T,Nome não encontrado
Vitamina C,mg,"2,41","0,48","3,13",BRC0233T,Nome não encontrado
Equivalente de folato,mcg,"36,2","7,24","47,1",BRC0233T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0233T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0233T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0233T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0233T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0233T,Nome não encontrado
