componente,unidade,Valor por 100g,Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1636,261,BRC0049R,Nome não encontrado
Energia,kcal,385,61,BRC0049R,Nome não encontrado
Umidade,g,"2,75","0,44",BRC0049R,Nome não encontrado
Carboidrato total,g,"95,8","15,3",BRC0049R,Nome não encontrado
Carboidrato disponível,g,"95,4","15,3",BRC0049R,Nome não encontrado
Proteína,g,"0,31","0,05",BRC0049R,Nome não encontrado
Lipídios,g,"0,17","0,03",BRC0049R,Nome não encontrado
Fibra alimentar,g,"0,43","0,07",BRC0049R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0049R,Nome não encontrado
Cinzas,g,"0,96","0,15",BRC0049R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,01",BRC0049R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0049R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01",BRC0049R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0049R,Nome não encontrado
Cálcio,mg,"5,06","0,81",BRC0049R,Nome não encontrado
Ferro,mg,"0,08","0,01",BRC0049R,Nome não encontrado
Sódio,mg,642,102,BRC0049R,Nome não encontrado
Magnésio,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Fósforo,mg,"2,02","0,32",BRC0049R,Nome não encontrado
Potássio,mg,"20,2","3,24",BRC0049R,Nome não encontrado
Manganês,mg,,,BRC0049R,Nome não encontrado
Zinco,mg,"0,02","0,00",BRC0049R,Nome não encontrado
Cobre,mg,,,BRC0049R,Nome não encontrado
Selênio,mcg,,,BRC0049R,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0049R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0049R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0049R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0049R,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0049R,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0049R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0049R,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0049R,Nome não encontrado
Sal de adição,g,,,BRC0049R,Nome não encontrado
Açúcar de adição,g,,,BRC0049R,Nome não encontrado
Gordura de adição,g,,,BRC0049R,Nome não encontrado
Proteína vegetal,g,,,BRC0049R,Nome não encontrado
Proteína animal,g,,,BRC0049R,Nome não encontrado
