componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,350,315,BRC0562B,Nome não encontrado
Energia,kcal,85,76,BRC0562B,Nome não encontrado
Umidade,g,"86,0","77,4",BRC0562B,Nome não encontrado
Carboidrato total,g,"5,83","5,25",BRC0562B,Nome não encontrado
Carboidrato disponível,g,"4,36","3,93",BRC0562B,Nome não encontrado
Proteína,g,"0,80","0,72",BRC0562B,Nome não encontrado
Lipídios,g,"6,78","6,10",BRC0562B,Nome não encontrado
Fibra alimentar,g,"1,47","1,32",BRC0562B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0562B,Nome não encontrado
Cinzas,g,"0,59","0,53",BRC0562B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0562B,Nome não encontrado
Ácidos graxos saturados,g,"1,02","0,92",BRC0562B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,87","4,38",BRC0562B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,72",BRC0562B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0562B,Nome não encontrado
Cálcio,mg,"9,48","8,53",BRC0562B,Nome não encontrado
Ferro,mg,"0,14","0,13",BRC0562B,Nome não encontrado
Sódio,mg,129,116,BRC0562B,Nome não encontrado
Magnésio,mg,"8,19","7,37",BRC0562B,Nome não encontrado
Fósforo,mg,"19,8","17,8",BRC0562B,Nome não encontrado
Potássio,mg,"88,4","79,6",BRC0562B,Nome não encontrado
Manganês,mg,"0,08","0,08",BRC0562B,Nome não encontrado
Zinco,mg,"0,11","0,10",BRC0562B,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0562B,Nome não encontrado
Selênio,mcg,"0,19","0,17",BRC0562B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0562B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0562B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0562B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,26","1,13",BRC0562B,Nome não encontrado
Tiamina,mg,"0,03","0,03",BRC0562B,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0562B,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0562B,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0562B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0562B,Nome não encontrado
Vitamina C,mg,"5,33","4,80",BRC0562B,Nome não encontrado
Equivalente de folato,mcg,"16,2","14,6",BRC0562B,Nome não encontrado
Sal de adição,g,"0,32","0,29",BRC0562B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0562B,Nome não encontrado
Gordura de adição,g,-,-,BRC0562B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0562B,Nome não encontrado
Proteína animal,g,-,-,BRC0562B,Nome não encontrado
