componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,191,38,19,BRC0176B,Nome não encontrado
Energia,kcal,46,9,4,BRC0176B,Nome não encontrado
Umidade,g,"89,1","17,8","8,91",BRC0176B,Nome não encontrado
Carboidrato total,g,"3,91","0,78","0,39",BRC0176B,Nome não encontrado
Carboidrato disponível,g,"1,09","0,22","0,11",BRC0176B,Nome não encontrado
Proteína,g,"2,59","0,52","0,26",BRC0176B,Nome não encontrado
Lipídios,g,"2,88","0,58","0,29",BRC0176B,Nome não encontrado
Fibra alimentar,g,"2,81","0,56","0,28",BRC0176B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0176B,Nome não encontrado
Cinzas,g,"1,53","0,31","0,15",BRC0176B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0176B,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,09","0,05",BRC0176B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,56","0,11","0,06",BRC0176B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,55","0,31","0,15",BRC0176B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0176B,Nome não encontrado
Cálcio,mg,230,"46,0","23,0",BRC0176B,Nome não encontrado
Ferro,mg,"0,55","0,11","0,06",BRC0176B,Nome não encontrado
Sódio,mg,138,"27,6","13,8",BRC0176B,Nome não encontrado
Magnésio,mg,"40,3","8,06","4,03",BRC0176B,Nome não encontrado
Fósforo,mg,"39,5","7,90","3,95",BRC0176B,Nome não encontrado
Potássio,mg,567,113,"56,7",BRC0176B,Nome não encontrado
Manganês,mg,"0,28","0,06","0,03",BRC0176B,Nome não encontrado
Zinco,mg,"0,21","0,04","0,02",BRC0176B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,00",BRC0176B,Nome não encontrado
Selênio,mcg,"0,23","0,05","0,02",BRC0176B,Nome não encontrado
Vitamina A (RE),mcg,454,"90,8","45,4",BRC0176B,Nome não encontrado
Vitamina A (RAE),mcg,227,"45,4","22,7",BRC0176B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0176B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,34","0,27","0,13",BRC0176B,Nome não encontrado
Tiamina,mg,"0,12","0,02","0,01",BRC0176B,Nome não encontrado
Riboflavina,mg,"0,18","0,04","0,02",BRC0176B,Nome não encontrado
Niacina,mg,"1,34","0,27","0,13",BRC0176B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,00",BRC0176B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0176B,Nome não encontrado
Vitamina C,mg,"34,9","6,97","3,49",BRC0176B,Nome não encontrado
Equivalente de folato,mcg,"12,1","2,42","1,21",BRC0176B,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,03",BRC0176B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0176B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0176B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0176B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0176B,Nome não encontrado
