componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,561,252,336,BRC0335E,Nome não encontrado
Energia,kcal,134,60,80,BRC0335E,Nome não encontrado
Umidade,g,"74,0","33,3","44,4",BRC0335E,Nome não encontrado
Carboidrato total,g,"4,77","2,15","2,86",BRC0335E,Nome não encontrado
Carboidrato disponível,g,"3,33","1,50","2,00",BRC0335E,Nome não encontrado
Proteína,g,"13,2","5,93","7,90",BRC0335E,Nome não encontrado
Lipídios,g,"6,34","2,85","3,81",BRC0335E,Nome não encontrado
Fibra alimentar,g,"1,44","0,65","0,87",BRC0335E,Nome não encontrado
Álcool,g,"0,01","0,00","0,01",BRC0335E,Nome não encontrado
Cinzas,g,"1,77","0,80","1,06",BRC0335E,Nome não encontrado
Colesterol,mg,"67,6","30,4","40,6",BRC0335E,Nome não encontrado
Ácidos graxos saturados,g,"1,99","0,90","1,20",BRC0335E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,97","0,89","1,18",BRC0335E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,72","0,77","1,03",BRC0335E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0335E,Nome não encontrado
Cálcio,mg,"38,2","17,2","22,9",BRC0335E,Nome não encontrado
Ferro,mg,"12,8","5,76","7,68",BRC0335E,Nome não encontrado
Sódio,mg,224,101,134,BRC0335E,Nome não encontrado
Magnésio,mg,"26,0","11,7","15,6",BRC0335E,Nome não encontrado
Fósforo,mg,170,"76,8",102,BRC0335E,Nome não encontrado
Potássio,mg,271,122,163,BRC0335E,Nome não encontrado
Manganês,mg,454,204,272,BRC0335E,Nome não encontrado
Zinco,mg,"13,1","5,91","7,89",BRC0335E,Nome não encontrado
Cobre,mg,"1,84","0,83","1,10",BRC0335E,Nome não encontrado
Selênio,mcg,"11,8","5,33","7,11",BRC0335E,Nome não encontrado
Vitamina A (RE),mcg,348,156,208,BRC0335E,Nome não encontrado
Vitamina A (RAE),mcg,236,106,141,BRC0335E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,01",BRC0335E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,11","0,50","0,66",BRC0335E,Nome não encontrado
Tiamina,mg,"0,11","0,05","0,06",BRC0335E,Nome não encontrado
Riboflavina,mg,"0,12","0,05","0,07",BRC0335E,Nome não encontrado
Niacina,mg,"2,04","0,92","1,22",BRC0335E,Nome não encontrado
Vitamina B6,mg,"0,18","0,08","0,11",BRC0335E,Nome não encontrado
Vitamina B12,mcg,"9,61","4,32","5,77",BRC0335E,Nome não encontrado
Vitamina C,mg,"12,8","5,75","7,67",BRC0335E,Nome não encontrado
Equivalente de folato,mcg,"28,5","12,8","17,1",BRC0335E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0335E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0335E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0335E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0335E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0335E,Nome não encontrado
