componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2236,670,BRC0049K,Nome não encontrado
Energia,kcal,535,160,BRC0049K,Nome não encontrado
Umidade,g,"1,26","0,38",BRC0049K,Nome não encontrado
Carboidrato total,g,"59,6","17,9",BRC0049K,Nome não encontrado
Carboidrato disponível,g,"57,4","17,2",BRC0049K,Nome não encontrado
Proteína,g,"7,22","2,17",BRC0049K,Nome não encontrado
Lipídios,g,"30,3","9,08",BRC0049K,Nome não encontrado
Fibra alimentar,g,"2,17","0,65",BRC0049K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0049K,Nome não encontrado
Cinzas,g,"1,68","0,50",BRC0049K,Nome não encontrado
Colesterol,mg,"16,5","4,96",BRC0049K,Nome não encontrado
Ácidos graxos saturados,g,"17,5","5,25",BRC0049K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"10,00","3,00",BRC0049K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,90","0,27",BRC0049K,Nome não encontrado
Ácidos graxos trans,g,"0,27","0,08",BRC0049K,Nome não encontrado
Cálcio,mg,154,"46,4",BRC0049K,Nome não encontrado
Ferro,mg,"1,47","0,44",BRC0049K,Nome não encontrado
Sódio,mg,"45,0","13,5",BRC0049K,Nome não encontrado
Magnésio,mg,"73,7","22,1",BRC0049K,Nome não encontrado
Fósforo,mg,212,"63,6",BRC0049K,Nome não encontrado
Potássio,mg,276,"83,1",BRC0049K,Nome não encontrado
Manganês,mg,"0,30","0,09",BRC0049K,Nome não encontrado
Zinco,mg,"0,77","0,23",BRC0049K,Nome não encontrado
Cobre,mg,"0,31","0,09",BRC0049K,Nome não encontrado
Selênio,mcg,,,BRC0049K,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0049K,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0049K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0049K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","0,16",BRC0049K,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0049K,Nome não encontrado
Riboflavina,mg,"0,22","0,07",BRC0049K,Nome não encontrado
Niacina,mg,"0,63","0,19",BRC0049K,Nome não encontrado
Vitamina B6,mg,"0,59","0,18",BRC0049K,Nome não encontrado
Vitamina B12,mcg,"0,75","0,23",BRC0049K,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0049K,Nome não encontrado
Equivalente de folato,mcg,"11,0","3,31",BRC0049K,Nome não encontrado
Sal de adição,g,,,BRC0049K,Nome não encontrado
Açúcar de adição,g,,,BRC0049K,Nome não encontrado
Gordura de adição,g,,,BRC0049K,Nome não encontrado
Proteína vegetal,g,,,BRC0049K,Nome não encontrado
Proteína animal,g,,,BRC0049K,Nome não encontrado
